PX	Instrument
PXD000481	Q-Tof Ultima
PXD000482	Q-Tof Ultima
PXD000488	LTQ Orbitrap XL
PXD000500	1200 series LC/MSD VL
PXD000504	LTQ Orbitrap Velos Pro
PXD000505	LTQ Orbitrap Velos Pro
PXD000509	LTQ Orbitrap
PXD000519	LTQ
PXD000527	LTQ Orbitrap
PXD000529	Q-Exactive
PXD000532	Q-TOF Ultima
PXD000533	Q-Exactive
PXD000534	LTQ Orbitrap
PXD000535	TripleTOF 5600
PXD000543	LTQ Orbitrap
PXD000544	micrOTOF-Q II
PXD000551	LTQ-Orbitrap
PXD000555	LTQ-Orbitrap
PXD000557	TripleTOF
PXD000570	LTQ-Orbitrap
PXD000579	4800 Plus MALDI TOF/TOF
PXD000580	Q-Tof Premier
PXD000581	Ultraflex III MALDI TOF/TOF
PXD000594	LTQ
PXD000598	Orbitrap
PXD000603	LTQ Orbitrap
PXD000605	LTQ-Orbitrap
PXD000607	LTQ-Orbitrap
PXD000610	LTQ Orbitrap
PXD000613	LTQ Orbitrap
PXD000616	LTQ-Orbitrap
PXD000623	LTQ Orbitrap
PXD000624	LTQ Orbitrap
PXD000625	LTQ Orbitrap
PXD000628	Orbitrap velos
PXD000629	LTQ Orbitrap
PXD000632	maXis II
PXD000633	LTQ Orbitrap
PXD000634	LTQ Orbitrap
PXD000636	LTQ Orbitrap XL
PXD000637	LTQ Orbitrap
PXD000638	LTQ Orbitrap
PXD000641	LTQ Orbitrap
PXD000651	LTQ-Orbitrap
PXD000652	LTQ-Orbitrap
PXD000653	LTQ-Orbitrap
PXD000654	LTQ-Orbitrap
PXD000655	LTQ-Orbitrap
PXD000656	LTQ-Orbitrap
PXD000657	LTQ-Orbitrap
PXD000662	4800 Plus MALDI TOF/TOF
PXD006364	LTQ-Orbitrap
